sample-id	plate	location	name	group	genotype	sex
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
MB001-B2	171222_RG_MB_CQ_AE_M	B2	MB001	VIP	WT	Male
MB002-B3	171222_RG_MB_CQ_AE_M	B3	MB002	VIP	WT	Male
MB003-B4	171222_RG_MB_CQ_AE_M	B4	MB003	VIP	WT	Male
MB004-B5	171222_RG_MB_CQ_AE_M	B5	MB004	VIP	WT	Male
MB005-B6	171222_RG_MB_CQ_AE_M	B6	MB005	VIP	WT	Male
MB006-B7	171222_RG_MB_CQ_AE_M	B7	MB006	VIP	WT	Male
MB007-B8	171222_RG_MB_CQ_AE_M	B8	MB007	VIP	WT	Male
MB008-B9	171222_RG_MB_CQ_AE_M	B9	MB008	VIP	WT	Male
MB009-B10	171222_RG_MB_CQ_AE_M	B10	MB009	VIP	HET	Male
MB010-B11	171222_RG_MB_CQ_AE_M	B11	MB010	VIP	HET	Male
MB011-B12	171222_RG_MB_CQ_AE_M	B12	MB011	VIP	HET	Male
MB012-C1	171222_RG_MB_CQ_AE_M	C1	MB012	VIP	HET	Male
MB013-C2	171222_RG_MB_CQ_AE_M	C2	MB013	VIP	HET	Male
MB014-C3	171222_RG_MB_CQ_AE_M	C3	MB014	VIP	HET	Male
MB015-C4	171222_RG_MB_CQ_AE_M	C4	MB015	VIP	HET	Male
MB016-C5	171222_RG_MB_CQ_AE_M	C5	MB016	VIP	HET	Male
MB017-C6	171222_RG_MB_CQ_AE_M	C6	MB017	VIP	KO	Male
MB018-C7	171222_RG_MB_CQ_AE_M	C7	MB018	VIP	KO	Male
MB019-C8	171222_RG_MB_CQ_AE_M	C8	MB019	VIP	KO	Male
MB020-C9	171222_RG_MB_CQ_AE_M	C9	MB020	VIP	KO	Male
MB021-C10	171222_RG_MB_CQ_AE_M	C10	MB021	VIP	KO	Male
MB022-C11	171222_RG_MB_CQ_AE_M	C11	MB022	VIP	KO	Male
MB023-C12	171222_RG_MB_CQ_AE_M	C12	MB023	VIP	KO	Male
MB024-D1	171222_RG_MB_CQ_AE_M	D1	MB024	VIP	KO	Male
MB025-D2	171222_RG_MB_CQ_AE_M	D2	MB025	VIP	WT	Female
MB026-D3	171222_RG_MB_CQ_AE_M	D3	MB026	VIP	WT	Female
MB027-D4	171222_RG_MB_CQ_AE_M	D4	MB027	VIP	WT	Female
MB028-D5	171222_RG_MB_CQ_AE_M	D5	MB028	VIP	WT	Female
MB029-D6	171222_RG_MB_CQ_AE_M	D6	MB029	VIP	WT	Female
MB030-D7	171222_RG_MB_CQ_AE_M	D7	MB030	VIP	WT	Female
MB031-D8	171222_RG_MB_CQ_AE_M	D8	MB031	VIP	WT	Female
MB032-D9	171222_RG_MB_CQ_AE_M	D9	MB032	VIP	WT	Female
MB033-D10	171222_RG_MB_CQ_AE_M	D10	MB033	VIP	HET	Female
MB034-D11	171222_RG_MB_CQ_AE_M	D11	MB034	VIP	HET	Female
