Sample	R1	R2	plate	location	name	group	genotype	sex
MB001-A01	/mnt/data/sbusi/vip/data/fastq/MB001_A01_S1_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB001_A01_S1_R2_001.fastq.gz	180817_MB	A01	MB001	WT	WT	Male
MB001-B2	/mnt/data/sbusi/vip/data/fastq/MB001_B2_S14_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB001_B2_S14_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B2	MB001	VIP	WT	Male
MB002-A02	/mnt/data/sbusi/vip/data/fastq/MB002_A02_S2_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB002_A02_S2_R2_001.fastq.gz	180817_MB	A02	MB002	WT	WT	Male
MB002-B3	/mnt/data/sbusi/vip/data/fastq/MB002_B3_S15_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB002_B3_S15_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B3	MB002	VIP	WT	Male
MB003-A03	/mnt/data/sbusi/vip/data/fastq/MB003_A03_S3_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB003_A03_S3_R2_001.fastq.gz	180817_MB	A03	MB003	WT	WT	Male
MB003-B4	/mnt/data/sbusi/vip/data/fastq/MB003_B4_S16_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB003_B4_S16_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B4	MB003	VIP	WT	Male
MB004-A04	/mnt/data/sbusi/vip/data/fastq/MB004_A04_S4_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB004_A04_S4_R2_001.fastq.gz	180817_MB	A04	MB004	WT	WT	Male
MB004-B5	/mnt/data/sbusi/vip/data/fastq/MB004_B5_S17_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB004_B5_S17_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B5	MB004	VIP	WT	Male
MB005-A05	/mnt/data/sbusi/vip/data/fastq/MB005_A05_S5_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB005_A05_S5_R2_001.fastq.gz	180817_MB	A05	MB005	WT	WT	Male
MB005-B6	/mnt/data/sbusi/vip/data/fastq/MB005_B6_S18_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB005_B6_S18_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B6	MB005	VIP	WT	Male
MB006-A06	/mnt/data/sbusi/vip/data/fastq/MB006_A06_S6_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB006_A06_S6_R2_001.fastq.gz	180817_MB	A06	MB006	WT	WT	Male
MB006-B7	/mnt/data/sbusi/vip/data/fastq/MB006_B7_S19_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB006_B7_S19_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B7	MB006	VIP	WT	Male
MB007-A07	/mnt/data/sbusi/vip/data/fastq/MB007_A07_S7_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB007_A07_S7_R2_001.fastq.gz	180817_MB	A07	MB007	WT	WT	Male
MB007-B8	/mnt/data/sbusi/vip/data/fastq/MB007_B8_S20_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB007_B8_S20_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B8	MB007	VIP	WT	Male
MB008-A08	/mnt/data/sbusi/vip/data/fastq/MB008_A08_S8_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB008_A08_S8_R2_001.fastq.gz	180817_MB	A08	MB008	WT	WT	Male
MB008-B9	/mnt/data/sbusi/vip/data/fastq/MB008_B9_S21_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB008_B9_S21_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B9	MB008	VIP	WT	Male
MB009-A09	/mnt/data/sbusi/vip/data/fastq/MB009_A09_S9_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB009_A09_S9_R2_001.fastq.gz	180817_MB	A09	MB009	WT	WT	Female
MB009-B10	/mnt/data/sbusi/vip/data/fastq/MB009_B10_S22_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB009_B10_S22_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B10	MB009	VIP	HET	Male
MB010-A10	/mnt/data/sbusi/vip/data/fastq/MB010_A10_S10_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB010_A10_S10_R2_001.fastq.gz	180817_MB	A10	MB010	WT	WT	Female
MB010-B11	/mnt/data/sbusi/vip/data/fastq/MB010_B11_S23_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB010_B11_S23_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B11	MB010	VIP	HET	Male
MB011-A11	/mnt/data/sbusi/vip/data/fastq/MB011_A11_S11_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB011_A11_S11_R2_001.fastq.gz	180817_MB	A11	MB011	WT	WT	Female
MB011-B12	/mnt/data/sbusi/vip/data/fastq/MB011_B12_S24_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB011_B12_S24_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	B12	MB011	VIP	HET	Male
MB012-A12	/mnt/data/sbusi/vip/data/fastq/MB012_A12_S12_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB012_A12_S12_R2_001.fastq.gz	180817_MB	A12	MB012	WT	WT	Female
MB012-C1	/mnt/data/sbusi/vip/data/fastq/MB012_C1_S25_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB012_C1_S25_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C1	MB012	VIP	HET	Male
MB013-B01	/mnt/data/sbusi/vip/data/fastq/MB013_B01_S13_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB013_B01_S13_R2_001.fastq.gz	180817_MB	B01	MB013	WT	WT	Female
MB013-C2	/mnt/data/sbusi/vip/data/fastq/MB013_C2_S26_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB013_C2_S26_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C2	MB013	VIP	HET	Male
